metric,k,accuracy,iterations,correct_predictions
bray_curtis,1,0.314607,89,28
bray_curtis,3,0.359551,89,32
bray_curtis,5,0.325843,89,29
bray_curtis,7,0.258427,89,23
bray_curtis,9,0.269663,89,24
bray_curtis,11,0.258427,89,23
bray_curtis,13,0.157303,89,14
bray_curtis,15,0.11236,89,10
chebyshev,1,0.191011,89,17
chebyshev,3,0.191011,89,17
chebyshev,5,0.146067,89,13
chebyshev,7,0.157303,89,14
chebyshev,9,0.157303,89,14
chebyshev,11,0.134831,89,12
chebyshev,13,0.11236,89,10
chebyshev,15,0.11236,89,10
euclidean,1,0.280899,89,25
euclidean,3,0.280899,89,25
euclidean,5,0.292135,89,26
euclidean,7,0.258427,89,23
euclidean,9,0.224719,89,20
euclidean,11,0.179775,89,16
euclidean,13,0.191011,89,17
euclidean,15,0.134831,89,12
