metric,k,actual_user,actual_sample,predicted_user,is_correct,score,neighbor_count,neighbors_json,distances_by_user_json
euclidean,1,,1,Grzes,False,329.503864,1,"[{""distance"": 329.5038638702254, ""sample"": 1, ""user"": ""Grzes""}]","{""Grzes"": 329.5038638702254}"
euclidean,1,67,2,67,True,1.494573,1,"[{""distance"": 1.4945731893437357, ""sample"": 4, ""user"": ""67""}]","{""67"": 1.4945731893437357}"
euclidean,1,67,3,67,True,0.215197,1,"[{""distance"": 0.21519691788631956, ""sample"": 5, ""user"": ""67""}]","{""67"": 0.21519691788631956}"
euclidean,1,67,4,67,True,1.494573,1,"[{""distance"": 1.4945731893437357, ""sample"": 2, ""user"": ""67""}]","{""67"": 1.4945731893437357}"
euclidean,1,67,5,67,True,0.215197,1,"[{""distance"": 0.21519691788631956, ""sample"": 3, ""user"": ""67""}]","{""67"": 0.21519691788631956}"
euclidean,1,Anita,1,Anita,True,222.709843,1,"[{""distance"": 222.7098430958366, ""sample"": 4, ""user"": ""Anita""}]","{""Anita"": 222.7098430958366}"
euclidean,1,Anita,2,Anita,True,367.710088,1,"[{""distance"": 367.71008750922056, ""sample"": 5, ""user"": ""Anita""}]","{""Anita"": 367.71008750922056}"
euclidean,1,Anita,3,Anita,True,305.964424,1,"[{""distance"": 305.96442375371697, ""sample"": 5, ""user"": ""Anita""}]","{""Anita"": 305.96442375371697}"
euclidean,1,Anita,4,Mateusz,False,180.818745,1,"[{""distance"": 180.8187448658617, ""sample"": 5, ""user"": ""Mateusz""}]","{""Mateusz"": 180.8187448658617}"
euclidean,1,Anita,5,Mateusz,False,279.348746,1,"[{""distance"": 279.3487461829691, ""sample"": 2, ""user"": ""Mateusz""}]","{""Mateusz"": 279.3487461829691}"
euclidean,1,Bartek,1,Ulung,False,120.444761,1,"[{""distance"": 120.44476115318345, ""sample"": 5, ""user"": ""Ulung""}]","{""Ulung"": 120.44476115318345}"
euclidean,1,Bartek,2,Nick:),False,41.257794,1,"[{""distance"": 41.25779412735157, ""sample"": 2, ""user"": ""Nick:)""}]","{""Nick:)"": 41.25779412735157}"
euclidean,1,Bartek,3,Nick:),False,50.400393,1,"[{""distance"": 50.400393057708555, ""sample"": 3, ""user"": ""Nick:)""}]","{""Nick:)"": 50.400393057708555}"
euclidean,1,Bartek,4,Nick:),False,72.090938,1,"[{""distance"": 72.0909382953031, ""sample"": 1, ""user"": ""Nick:)""}]","{""Nick:)"": 72.0909382953031}"
euclidean,1,Bartek,5,Ulung,False,51.428412,1,"[{""distance"": 51.428411825647636, ""sample"": 3, ""user"": ""Ulung""}]","{""Ulung"": 51.428411825647636}"
euclidean,1,Dominik,1,,False,389.812416,1,"[{""distance"": 389.81241626807366, ""sample"": 1, ""user"": """"}]","{"""": 389.81241626807366}"
euclidean,1,Dominik,2,Maja,False,176.931116,1,"[{""distance"": 176.93111646564856, ""sample"": 3, ""user"": ""Maja""}]","{""Maja"": 176.93111646564856}"
euclidean,1,Dominik,3,Maja,False,165.610788,1,"[{""distance"": 165.61078842549387, ""sample"": 2, ""user"": ""Maja""}]","{""Maja"": 165.61078842549387}"
euclidean,1,Dominik,4,Dominik,True,347.617434,1,"[{""distance"": 347.6174338722061, ""sample"": 2, ""user"": ""Dominik""}]","{""Dominik"": 347.6174338722061}"
euclidean,1,Dominik,5,HETER,False,214.95847,1,"[{""distance"": 214.9584699252818, ""sample"": 4, ""user"": ""HETER""}]","{""HETER"": 214.9584699252818}"
euclidean,1,Emilia_A,2,Marcin,False,286.579152,1,"[{""distance"": 286.57915206876925, ""sample"": 4, ""user"": ""Marcin""}]","{""Marcin"": 286.57915206876925}"
euclidean,1,Emilia_A,3,Emilia_A,True,309.882108,1,"[{""distance"": 309.8821083685252, ""sample"": 4, ""user"": ""Emilia_A""}]","{""Emilia_A"": 309.8821083685252}"
euclidean,1,Emilia_A,4,Emilia_A,True,309.882108,1,"[{""distance"": 309.8821083685252, ""sample"": 3, ""user"": ""Emilia_A""}]","{""Emilia_A"": 309.8821083685252}"
euclidean,1,Emilia_A,5,Emilia_A,True,446.37553,1,"[{""distance"": 446.37552993768026, ""sample"": 4, ""user"": ""Emilia_A""}]","{""Emilia_A"": 446.37552993768026}"
euclidean,1,Grzes,1,,False,329.503864,1,"[{""distance"": 329.5038638702254, ""sample"": 1, ""user"": """"}]","{"""": 329.5038638702254}"
euclidean,1,HETER,1,Maja,False,219.059231,1,"[{""distance"": 219.0592313605742, ""sample"": 5, ""user"": ""Maja""}]","{""Maja"": 219.0592313605742}"
euclidean,1,HETER,2,Olo,False,150.68893,1,"[{""distance"": 150.68893025577182, ""sample"": 1, ""user"": ""Olo""}]","{""Olo"": 150.68893025577182}"
euclidean,1,HETER,3,Majkel,False,226.698845,1,"[{""distance"": 226.6988452084216, ""sample"": 3, ""user"": ""Majkel""}]","{""Majkel"": 226.6988452084216}"
euclidean,1,HETER,4,Marcin,False,210.641235,1,"[{""distance"": 210.641235128602, ""sample"": 1, ""user"": ""Marcin""}]","{""Marcin"": 210.641235128602}"
euclidean,1,HETER,5,Majkel,False,141.286152,1,"[{""distance"": 141.28615186629347, ""sample"": 4, ""user"": ""Majkel""}]","{""Majkel"": 141.28615186629347}"
euclidean,1,Kosak,2,Rita skeeter,False,0.455917,1,"[{""distance"": 0.4559168142796841, ""sample"": 1, ""user"": ""Rita skeeter""}]","{""Rita skeeter"": 0.4559168142796841}"
euclidean,1,Kosak,3,Rita skeeter,False,81.478727,1,"[{""distance"": 81.4787273546393, ""sample"": 5, ""user"": ""Rita skeeter""}]","{""Rita skeeter"": 81.4787273546393}"
euclidean,1,Kosak,4,Rita skeeter,False,2.23776,1,"[{""distance"": 2.2377604604350636, ""sample"": 5, ""user"": ""Rita skeeter""}]","{""Rita skeeter"": 2.2377604604350636}"
euclidean,1,Kosak,5,Rita skeeter,False,0.194214,1,"[{""distance"": 0.19421368742712347, ""sample"": 5, ""user"": ""Rita skeeter""}]","{""Rita skeeter"": 0.19421368742712347}"
euclidean,1,Lukasz,1,Lukasz,True,185.6711,1,"[{""distance"": 185.67109960939052, ""sample"": 3, ""user"": ""Lukasz""}]","{""Lukasz"": 185.67109960939052}"
euclidean,1,Lukasz,2,HETER,False,327.253874,1,"[{""distance"": 327.25387422077057, ""sample"": 1, ""user"": ""HETER""}]","{""HETER"": 327.25387422077057}"
euclidean,1,Lukasz,3,Lukasz,True,185.6711,1,"[{""distance"": 185.67109960939052, ""sample"": 1, ""user"": ""Lukasz""}]","{""Lukasz"": 185.67109960939052}"
euclidean,1,Lukasz,4,Dominik,False,395.955324,1,"[{""distance"": 395.9553238600863, ""sample"": 2, ""user"": ""Dominik""}]","{""Dominik"": 395.9553238600863}"
euclidean,1,Lukasz,5,Olo,False,386.534306,1,"[{""distance"": 386.5343055212978, ""sample"": 2, ""user"": ""Olo""}]","{""Olo"": 386.5343055212978}"
euclidean,1,Maja,1,HETER,False,165.173771,1,"[{""distance"": 165.17377065430162, ""sample"": 2, ""user"": ""HETER""}]","{""HETER"": 165.17377065430162}"
euclidean,1,Maja,2,Dominik,False,165.610788,1,"[{""distance"": 165.61078842549387, ""sample"": 3, ""user"": ""Dominik""}]","{""Dominik"": 165.61078842549387}"
euclidean,1,Maja,3,Dominik,False,176.931116,1,"[{""distance"": 176.93111646564856, ""sample"": 2, ""user"": ""Dominik""}]","{""Dominik"": 176.93111646564856}"
euclidean,1,Maja,4,Dominik,False,495.303312,1,"[{""distance"": 495.3033122686895, ""sample"": 4, ""user"": ""Dominik""}]","{""Dominik"": 495.3033122686895}"
euclidean,1,Maja,5,Maja,True,192.601162,1,"[{""distance"": 192.6011621499945, ""sample"": 3, ""user"": ""Maja""}]","{""Maja"": 192.6011621499945}"
euclidean,1,Majkel,1,Mateusz,False,195.945378,1,"[{""distance"": 195.94537828229542, ""sample"": 5, ""user"": ""Mateusz""}]","{""Mateusz"": 195.94537828229542}"
euclidean,1,Majkel,2,Olo,False,211.198326,1,"[{""distance"": 211.19832621892368, ""sample"": 4, ""user"": ""Olo""}]","{""Olo"": 211.19832621892368}"
euclidean,1,Majkel,3,HETER,False,220.880087,1,"[{""distance"": 220.88008708768592, ""sample"": 1, ""user"": ""HETER""}]","{""HETER"": 220.88008708768592}"
euclidean,1,Majkel,4,HETER,False,141.286152,1,"[{""distance"": 141.28615186629347, ""sample"": 5, ""user"": ""HETER""}]","{""HETER"": 141.28615186629347}"
euclidean,1,Majkel,5,Maja,False,281.451441,1,"[{""distance"": 281.45144056395156, ""sample"": 3, ""user"": ""Maja""}]","{""Maja"": 281.45144056395156}"
euclidean,1,Marcin,1,HETER,False,210.641235,1,"[{""distance"": 210.641235128602, ""sample"": 4, ""user"": ""HETER""}]","{""HETER"": 210.641235128602}"
euclidean,1,Marcin,2,Marcin,True,318.48036,1,"[{""distance"": 318.4803596251667, ""sample"": 4, ""user"": ""Marcin""}]","{""Marcin"": 318.4803596251667}"
euclidean,1,Marcin,3,Emilia_A,False,368.823384,1,"[{""distance"": 368.8233837882478, ""sample"": 3, ""user"": ""Emilia_A""}]","{""Emilia_A"": 368.8233837882478}"
euclidean,1,Marcin,4,Emilia_A,False,286.579152,1,"[{""distance"": 286.57915206876925, ""sample"": 2, ""user"": ""Emilia_A""}]","{""Emilia_A"": 286.57915206876925}"
