metric,k,iterations,correct_predictions,accuracy,precision_macro,recall_macro,f1_macro
euclidean,1,89,25,0.280899,0.278571,0.2675,0.264102
euclidean,3,89,25,0.280899,0.279345,0.2625,0.260294
euclidean,5,89,26,0.292135,0.228413,0.275,0.242297
euclidean,7,89,23,0.258427,0.185258,0.2425,0.19796
euclidean,9,89,20,0.224719,0.112143,0.2075,0.142702
euclidean,11,89,16,0.179775,0.095496,0.165,0.115079
euclidean,13,89,17,0.191011,0.099633,0.175,0.121025
euclidean,15,89,12,0.134831,0.075675,0.125,0.090861
chebyshev,1,89,17,0.191011,0.152024,0.185,0.156565
chebyshev,3,89,17,0.191011,0.145382,0.1825,0.148611
chebyshev,5,89,13,0.146067,0.143494,0.1375,0.113549
chebyshev,7,89,14,0.157303,0.088203,0.1475,0.099011
chebyshev,9,89,14,0.157303,0.088097,0.145,0.103037
chebyshev,11,89,12,0.134831,0.073932,0.125,0.084902
chebyshev,13,89,10,0.11236,0.05462,0.105,0.065934
chebyshev,15,89,10,0.11236,0.048,0.105,0.062222
bray_curtis,1,89,28,0.314607,0.333889,0.2975,0.290891
bray_curtis,3,89,32,0.359551,0.356944,0.3325,0.315928
bray_curtis,5,89,29,0.325843,0.252103,0.3025,0.259921
bray_curtis,7,89,23,0.258427,0.175729,0.245,0.191602
bray_curtis,9,89,24,0.269663,0.16124,0.25,0.189916
bray_curtis,11,89,23,0.258427,0.156661,0.24,0.174018
bray_curtis,13,89,14,0.157303,0.075513,0.15,0.09944
bray_curtis,15,89,10,0.11236,0.061131,0.1075,0.077016
